no	tempo	potencia	taxaMAC
1	39,182069485925	-15	70
3	39,396194079634	-15	70
5	39,403225087676	-10	70
5	39,637380408292	-10	70
2	39,643240140542	-15	80
3	39,65316170223	-15	70
4	39,68003597742	-10	60
1	39,873019734678	-12	60
3	39,905207377733	-15	70
5	39,920596368374	-10	50
4	40,112956008315	-10	70
3	40,352814148896	-15	70
5	40,392266356512	-10	70
4	40,395157365003	-10	70
2	40,408905778784	-15	70
1	40,648765733027	-12	60
3	40,840186699044	-20	90
4	40,856514683029	-10	80
5	40,887216183062	-10	70
1	41,099762436459	-12	50
3	41,114029451672	-20	60
4	41,126372239379	-10	60
2	41,313106133042	-20	90
4	41,562495499808	-10	80
5	41,569526299573	-10	60
1	41,58929216506	-10	40
3	41,818213064522	-20	90
5	41,830243220605	-10	90
4	41,837587447488	-10	80
2	41,849694743483	-15	40
1	42,069555309192	-10	40
5	42,273351195339	-10	50
4	42,284679264229	-10	80
3	42,303476366287	-15	70
5	42,51700622867	-10	70
2	42,54614554311	-20	90
4	42,788270129689	-10	80
5	42,795379011224	-10	90
1	42,993206890556	-12	70
3	42,995941263813	-20	90
5	43,037033625651	-10	90
4	43,240096244867	-10	70
5	43,27556365575	-10	70
2	43,287203250149	-15	60
3	43,485657630981	-15	70
1	43,504985271724	-12	50
4	43,513781996376	-10	80
4	43,758249442992	-10	80
5	43,958498868535	-10	80
2	43,963967741463	-15	70
1	43,978576893692	-15	70
3	43,991467797051	-15	70
4	44,213669219268	-10	60
5	44,485401010795	-10	50
3	44,690026493312	-15	80
4	44,695807464129	-10	80
5	44,916993877424	-10	80
1	44,923087667263	-20	90
4	44,9317593038	-10	80
2	44,969178666425	-20	100
5	45,167242371328	-10	80
4	45,171070609922	-10	70
3	45,181070997196	-12	40
5	45,405225564355	-10	70
4	45,447911068577	-10	60
5	45,651958587872	-10	60
1	45,66399004361	-15	60
4	45,895410596551	-10	60
2	45,901737748518	-15	70
5	45,905254157819	-10	60
4	46,141128025723	-10	80
3	46,147534792465	-12	50
4	46,401064026701	-10	80
5	46,404657399004	-10	90
1	46,600922798853	-15	80
3	46,634360475203	-12	60
5	46,847889911817	-10	60
2	46,856404857983	-15	80
4	46,881483531039	-10	90
3	46,888671910354	-15	70
5	47,105794768173	-10	70
1	47,126498210511	-12	30
